temp_C,source,well,n_points,mu_max,t_at_mu_max_hr
38,PROCESSED,E6,138,0.49932731762801996,5.584444444
38,PROCESSED,E7,138,0.5193925746533545,5.759166667
38,PROCESSED,E8,138,0.49340039657360424,5.584444444
38,PROCESSED,F1,138,0.42913202410859497,6.108611111
38,PROCESSED,F2,138,0.48298759378854716,5.759166667
38,PROCESSED,F3,138,0.5209909428246352,5.759166667
38,PROCESSED,F4,138,0.5318602495494757,5.759166667
38,PROCESSED,F5,138,0.4932338480682573,5.759166667
38,PROCESSED,F6,138,0.4743100511124594,5.759166667
38,PROCESSED,F7,138,0.4709221685114757,5.759166667
38,PROCESSED,F8,138,0.4524250034410089,5.759166667
39,PROCESSED,A1,132,0.4629237640849442,6.283333333
39,PROCESSED,A2,132,0.44392943622029746,6.108611111
39,PROCESSED,A3,132,0.4639010964725496,5.933888889
39,PROCESSED,A4,132,0.45212353814670614,5.933888889
39,PROCESSED,A5,132,0.4536180953417359,6.8075
39,PROCESSED,A6,132,0.48352683384600825,5.933888889
39,PROCESSED,B1,132,0.46341652467349537,5.933888889
39,PROCESSED,B3,132,0.45387767039912785,5.933888889
39,PROCESSED,B4,132,0.43715891495535086,6.283333333
39,PROCESSED,B5,132,0.4313136102701036,5.933888889
39,PROCESSED,B6,132,0.4151938189617177,5.759166667
39,PROCESSED,C1,132,0.5005715468287134,5.933888889
39,PROCESSED,C2,132,0.49894451074682833,5.933888889
39,PROCESSED,C3,132,0.4206167603037534,5.759166667
39,PROCESSED,C4,132,0.43852563726299465,5.933888889
39,PROCESSED,C5,132,0.39566108127294375,5.584444444
39,PROCESSED,C6,132,0.4780562030466198,6.283333333
39,PROCESSED,D1,132,0.5084675984645293,6.8075
39,PROCESSED,D2,132,0.5201619218876607,6.632777778
39,PROCESSED,D3,132,0.5398432778916777,5.933888889
39,PROCESSED,D4,132,0.50177383579299,5.933888889
39,PROCESSED,D5,132,0.5217469026255361,5.759166667
39,PROCESSED,D6,132,0.43901173837773544,5.759166667
39,PROCESSED,E1,132,0.4521584231557214,5.759166667
39,PROCESSED,E2,132,0.520959753660312,5.933888889
39,PROCESSED,E3,132,0.49710360671533727,5.933888889
39,PROCESSED,E4,132,0.4961849286214295,5.759166667
39,PROCESSED,E5,132,0.536716519528428,5.759166667
39,PROCESSED,E6,132,0.49711731836039297,6.283333333
39,PROCESSED,E7,132,0.5084675971300905,7.331666667
39,PROCESSED,E8,132,0.46326296707382597,5.759166667
39,PROCESSED,F1,132,0.4693628229372896,6.108611111
39,PROCESSED,F2,132,0.45867470752854,6.283333333
